12/03/2019 06:01:44 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 06:01:44 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:01:44 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:01:44 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:01:44 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:12:52 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:12:52 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:15:40 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:15:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:30:39 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 06:30:39 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:10:56 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
